CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,PTRATIO,B,LSTAT
0.02009,3.192922374429224,2.68,0.0,0.4161,6.233212184873957,31.9,5.118,4.0,14.7,390.55,2.88
6.53876,0.0,18.1,0.0,0.631,7.016,97.5,1.2024,24.0,20.2,392.05,2.96
3.67367,0.0,18.1,0.0,0.583,6.312,51.9,3.9917,24.0,20.2,388.62,10.58
0.05188,0.0,4.49,0.0,0.449,6.015,45.1,4.4272,3.0,18.5,395.99,12.86
0.10612,30.0,4.93,0.0,0.428,6.095,65.1,6.3361,6.0,16.6,394.62,12.4
7.40389,0.0,18.1,0.0,0.597,5.617,97.9,1.4547,24.0,20.2,388.70571095571,26.4
8.24809,0.0,18.1,0.0,0.713,7.393,99.3,2.4527,24.0,20.2,375.87,16.74
0.34109,0.0,7.38,0.0,0.493,6.415,40.1,4.7211,5.0,19.6,396.9,6.12
0.26363,0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5.0,20.9,391.23,15.55
0.02875,28.0,15.04,0.0,0.464,6.211,28.9,3.6659,4.0,18.2,396.33,6.21
0.61154,20.0,3.97,0.0,0.647,6.233212184873957,86.9,1.801,5.0,18.624643584521394,389.7,5.12
0.02899,3.192922374429224,1.25,0.0,0.429,6.939,34.5,8.7921,1.0,19.7,389.85,5.89
0.04297,3.192922374429224,5.32,0.0,0.405,6.565,22.9,7.3172,6.0,16.6,371.72,9.51
0.07165,0.0,25.65,0.0,0.581,6.004,84.1,2.1974,2.0,19.1,377.67,14.27
0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,15.2,386.71,17.1
0.06642,0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5.0,16.6,391.27,6.92
1.1971470294784572,0.0,18.1,0.0,0.74,6.251,96.6,2.198,24.0,20.2,388.52,16.44
0.6718,0.0,18.1,0.0,0.74,6.459,94.8,1.9879,24.0,20.2,388.70571095571,23.98
4.26131,0.0,18.1,0.0,0.77,6.112,81.3,2.5091,24.0,20.2,390.74,12.67
0.03705,20.0,3.33,0.0,0.4429,6.968,37.2,5.2447,5.0,14.9,392.23,4.59
0.53412,20.0,3.97,0.0,0.647,7.52,89.4,2.1398,5.0,18.624643584521394,388.37,7.26
1.05393,0.0,8.14,0.0,0.538,5.935,29.3,4.4986,4.0,21.0,386.85,6.58
1.1971470294784572,0.0,18.1,0.0,0.597,6.233212184873957,100.0,1.5539,24.0,20.2,388.70571095571,12.340561122244491
8.49213,0.0,18.1,0.0,0.584,6.348,86.1,2.0527,24.0,20.2,388.70571095571,17.64
0.12744,0.0,6.91,0.0,0.448,6.77,2.9,5.7209,3.0,17.9,385.41,4.84
1.1971470294784572,0.0,18.1,0.0,0.584,6.833,94.3,2.0882,24.0,20.2,388.70571095571,19.69
0.12932,0.0,13.92,0.0,0.437,6.678,31.1,5.9604,4.0,16.0,396.9,6.27
0.19186,0.0,7.38,0.0,0.493,6.431,14.7,5.4159,5.0,19.6,393.68,5.08
0.0456,0.0,13.89,0.0,0.55,5.888,56.0,3.1121,5.0,16.4,392.8,13.51
0.03961,0.0,5.19,0.0,0.515,6.037,34.5,5.9853,5.0,20.2,396.9,8.01
